episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations
180,9,train_0428,12397.80859375,10610.646484375,111.06464843750001,0.0,12508.8732421875,17.48,0.58,0.0,0.0
181,9,train_0022,12454.8515625,10621.755859375,112.1755859375,0.0,12567.0271484375,17.54,0.58,0.0,0.0
182,9,train_0581,12139.974609375,10647.533203125,114.75332031250001,0.0,12254.7279296875,16.16,0.6,0.0,0.0
183,9,train_0525,12117.900390625,10613.806640625,111.3806640625,0.0,12229.2810546875,16.26,0.68,0.0,0.0
184,9,train_0340,12406.4228515625,10660.90625,116.090625,0.0,12522.5134765625,16.36,0.72,0.0,0.0
185,9,train_0280,12721.9091796875,10349.6396484375,84.96396484375,0.0,12806.87314453125,17.36,0.64,0.0,0.0
186,9,train_0456,12244.4375,10383.1767578125,88.31767578125,0.0,12332.75517578125,14.5,0.66,0.0,0.0
187,9,train_0328,12438.830078125,10284.833984375,78.4833984375,0.0,12517.3134765625,15.26,0.6,0.0,0.0
188,9,train_0286,12763.58984375,10583.9814453125,108.39814453125001,0.0,12871.98798828125,14.94,0.68,0.0,0.0
189,9,train_0193,12180.6513671875,10700.5263671875,120.05263671875001,0.0,12300.70400390625,14.58,0.5,0.0,0.0
190,9,train_0268,12339.0908203125,10745.08984375,124.50898437500001,0.0,12463.5998046875,16.04,0.52,0.0,0.0
191,9,train_0450,11818.9833984375,10695.3671875,119.53671875,0.0,11938.5201171875,15.32,0.72,0.0,0.0
192,10,train_0033,12556.015625,10691.25,119.125,0.0,12675.140625,15.74,0.7,0.0,0.0
193,10,train_0015,11972.6064453125,10610.158203125,111.01582031250001,0.0,12083.622265625,15.52,0.52,0.0,0.0
194,10,train_0432,12093.619140625,10527.390625,102.7390625,0.0,12196.358203125,14.22,0.6,0.0,0.0
195,10,train_0223,11903.8388671875,10317.052734375,81.70527343750001,0.0,11985.544140625,14.54,0.72,0.0,0.0
196,10,train_0482,11933.490234375,10396.1318359375,89.61318359375001,0.0,12023.10341796875,14.28,0.72,0.0,0.0
197,10,train_0018,12340.080078125,10741.3193359375,124.13193359375,0.0,12464.21201171875,16.06,0.66,0.0,0.0
198,10,train_0544,12584.0078125,10838.7744140625,133.87744140625,0.0,12717.88525390625,15.04,0.48,0.0,0.0
199,10,train_0073,12168.5009765625,10373.361328125,87.33613281250001,0.0,12255.837109375,15.02,0.68,0.0,0.0
200,10,train_0249,12407.4189453125,10555.736328125,105.57363281250001,0.0,12512.992578125,16.3,0.64,0.0,0.0
201,10,train_0580,12489.107421875,10803.642578125,130.3642578125,0.0,12619.4716796875,16.3,0.62,0.0,0.0
202,10,train_0065,12593.671875,10545.74609375,104.57460937500001,0.0,12698.246484375,13.92,0.64,0.0,0.0
203,10,train_0394,12143.64453125,10672.1484375,117.21484375,0.0,12260.859375,13.94,0.72,0.0,0.0
204,10,train_0436,12286.4794921875,10657.22265625,115.722265625,0.0,12402.2017578125,16.7,0.66,0.0,0.0
205,10,train_0256,11806.693359375,10965.271484375,146.52714843750002,0.0,11953.2205078125,16.26,0.66,0.0,0.0
206,10,train_0047,12111.7734375,10388.439453125,88.84394531250001,0.0,12200.6173828125,14.78,0.62,0.0,0.0
207,10,train_0314,12137.544921875,10148.35546875,64.835546875,0.0,12202.38046875,16.72,0.66,0.0,0.0
208,10,train_0260,12241.45703125,10336.244140625,83.62441406250001,0.0,12325.0814453125,17.14,0.62,0.0,0.0
209,10,train_0523,11984.16796875,10375.1865234375,87.51865234375,0.0,12071.68662109375,16.28,0.7,0.0,0.0
210,10,train_0409,12836.4365234375,10774.810546875,127.4810546875,0.0,12963.917578125,18.08,0.64,0.0,0.0
211,10,train_0206,12616.408203125,11162.103515625,166.21035156250002,0.0,12782.6185546875,14.8,0.66,0.0,0.0
