episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,carbon_lambda
16,1,train_0515,12701.35546875,10132.166015625,63.2166015625,0.0,12764.5720703125,16.94,0.7,0.0,0.0,5.0
17,1,train_0391,12359.60546875,10306.98828125,80.698828125,0.0,12440.304296875,13.84,0.58,0.0,0.0,5.0
18,1,train_0059,12582.427734375,10502.365234375,100.23652343750001,0.0,12682.6642578125,15.52,0.64,0.0,0.0,5.0
19,1,train_0178,12345.044921875,10177.2265625,67.72265625,0.0,12412.767578125,15.94,0.72,0.0,0.0,5.0
20,1,train_0099,12203.923828125,9850.5419921875,35.05419921875,0.0,12238.97802734375,17.0,0.64,0.0,0.0,5.0
21,1,train_0580,12637.40625,10910.419921875,141.0419921875,0.0,12778.4482421875,16.84,0.74,0.0,0.0,5.0
22,1,train_0436,12645.142578125,10760.787109375,126.0787109375,0.0,12771.2212890625,16.74,0.64,0.0,0.0,5.0
23,1,train_0551,11927.013671875,10563.83984375,106.38398437500001,0.0,12033.39765625,16.18,0.62,0.0,0.0,5.0
24,1,train_0169,12174.951171875,9939.0166015625,43.90166015625,0.0,12218.85283203125,16.36,0.74,0.0,0.0,5.0
25,1,train_0381,11919.2783203125,10471.857421875,97.18574218750001,0.0,12016.4640625,15.26,0.62,0.0,0.0,5.0
26,1,train_0362,12035.9541015625,10524.955078125,102.49550781250001,0.0,12138.449609375,15.88,0.72,0.0,0.0,5.0
27,1,train_0451,12633.572265625,10349.677734375,84.9677734375,0.0,12718.5400390625,15.04,0.66,0.0,0.0,5.0
28,1,train_0070,11749.7978515625,10193.8125,69.38125000000001,0.0,11819.1791015625,14.56,0.62,0.0,0.0,5.0
29,1,train_0309,12417.046875,10522.044921875,102.20449218750001,0.0,12519.2513671875,14.62,0.6,0.0,0.0,5.0
30,1,train_0386,12702.90625,10238.62890625,73.862890625,0.0,12776.769140625,15.36,0.7,0.0,0.0,5.0
31,1,train_0495,12480.2333984375,10492.2890625,99.22890625000001,0.0,12579.4623046875,18.64,0.66,0.0,0.0,5.0
32,2,train_0393,12405.755859375,10603.5185546875,110.35185546875,0.0,12516.10771484375,13.56,0.68,0.0,0.0,5.0
33,2,train_0269,11865.830078125,10097.03125,59.703125,0.0,11925.533203125,16.72,0.74,0.0,0.0,5.0
34,2,train_0276,12703.6875,9928.416015625,42.8416015625,0.0,12746.5291015625,16.06,0.52,0.0,0.0,5.0
35,2,train_0203,12679.9921875,11110.41015625,161.041015625,0.0,12841.033203125,13.66,0.58,0.0,0.0,5.0
36,2,train_0094,11935.310546875,10314.5400390625,81.45400390625001,0.0,12016.76455078125,15.28,0.68,0.0,0.0,5.0
37,2,train_0166,12278.880859375,10266.6015625,76.66015625,0.0,12355.541015625,14.64,0.62,0.0,0.0,5.0
38,2,train_0087,12754.6953125,10248.19140625,74.819140625,0.0,12829.514453125,15.96,0.74,0.0,0.0,5.0
39,2,train_0135,12554.9892578125,10454.310546875,95.43105468750001,0.0,12650.4203125,15.8,0.68,0.0,0.0,5.0
40,2,train_0512,12496.8759765625,10273.5,77.35000000000001,0.0,12574.2259765625,15.48,0.7,0.0,0.0,5.0
41,2,train_0315,13064.7265625,10768.654296875,126.86542968750001,0.0,13191.5919921875,15.78,0.54,0.0,0.0,5.0
42,2,train_0054,12238.1142578125,10510.099609375,101.00996093750001,0.0,12339.12421875,15.96,0.72,0.0,0.0,5.0
43,2,train_0258,13010.4453125,10670.16796875,117.01679687500001,0.0,13127.462109375,14.86,0.56,0.0,0.0,5.0
44,2,train_0162,11843.033203125,9867.0615234375,36.70615234375,0.0,11879.73935546875,16.22,0.68,0.0,0.0,5.0
45,2,train_0397,12211.2978515625,10139.61328125,63.961328125,0.0,12275.2591796875,15.08,0.72,0.0,0.0,5.0
46,2,train_0498,12408.5888671875,10639.4765625,113.94765625000001,0.0,12522.5365234375,14.32,0.62,0.0,0.0,5.0
47,2,train_0007,13326.8134765625,11321.28515625,182.128515625,0.0,13508.9419921875,14.58,0.62,0.0,0.0,5.0
48,3,train_0279,12506.4306640625,10341.9267578125,84.19267578125,0.0,12590.62333984375,16.88,0.6,0.0,0.0,5.0
