episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations
39,2,train_0135,12412.345703125,10596.4541015625,-264.35458984375003,264.35458984375003,12147.99111328125,15.88,0.6,0.0,0.0
40,2,train_0512,12436.2880859375,10283.041015625,-295.69589843750003,295.69589843750003,12140.5921875,15.54,0.7,0.0,0.0
41,2,train_0315,13024.34765625,10825.908203125,-241.4091796875,241.4091796875,12782.9384765625,15.76,0.52,0.0,0.0
42,2,train_0054,12230.7080078125,10468.6181640625,-277.13818359375,277.13818359375,11953.56982421875,15.64,0.64,0.0,0.0
43,2,train_0258,12939.7080078125,10794.3681640625,-244.56318359375,244.56318359375,12695.14482421875,15.22,0.54,0.0,0.0
44,2,train_0162,11909.4873046875,9959.677734375,-328.0322265625,328.0322265625,11581.455078125,15.9,0.7,0.0,0.0
45,2,train_0397,12029.185546875,10345.4775390625,-289.45224609375003,289.45224609375003,11739.73330078125,14.96,0.62,0.0,0.0
46,2,train_0498,12413.17578125,10809.716796875,-243.0283203125,243.0283203125,12170.1474609375,14.44,0.6,0.0,0.0
47,2,train_0007,13298.5361328125,11320.40625,-191.95937500000002,191.95937500000002,13106.5767578125,14.6,0.58,0.0,0.0
48,3,train_0279,12410.423828125,10437.58984375,-280.241015625,280.241015625,12130.1828125,16.56,0.64,0.0,0.0
49,3,train_0268,12627.6376953125,10536.60546875,-270.33945312500003,270.33945312500003,12357.2982421875,17.1,0.7,0.0,0.0
50,3,train_0594,12481.017578125,10267.255859375,-297.2744140625,297.2744140625,12183.7431640625,16.14,0.64,0.0,0.0
51,3,train_0219,12627.39453125,10336.3408203125,-290.36591796875,290.36591796875,12337.02861328125,17.08,0.64,0.0,0.0
52,3,train_0099,12052.740234375,10049.416015625,-319.05839843750005,319.05839843750005,11733.6818359375,18.18,0.66,0.0,0.0
53,3,train_0117,11810.1201171875,10489.6044921875,-275.03955078125,275.03955078125,11535.08056640625,15.72,0.48,0.0,0.0
54,3,train_0286,12854.3095703125,10647.02734375,-259.297265625,259.297265625,12595.0123046875,15.1,0.56,0.0,0.0
55,3,train_0356,12532.974609375,10766.296875,-247.3703125,247.3703125,12285.604296875,16.8,0.52,0.0,0.0
56,3,train_0195,12777.623046875,11098.2470703125,-214.17529296875,214.17529296875,12563.44775390625,17.06,0.64,0.0,0.0
57,3,train_0261,12319.1357421875,10679.7998046875,-256.02001953125,256.02001953125,12063.11572265625,17.3,0.66,0.0,0.0
58,3,train_0397,12167.6767578125,10606.8173828125,-263.31826171875,263.31826171875,11904.35849609375,16.24,0.72,0.0,0.0
59,3,train_0179,12177.8828125,10269.716796875,-297.0283203125,297.0283203125,11880.8544921875,13.72,0.7,0.0,0.0
60,3,train_0578,12341.158203125,10063.029296875,-317.69707031250005,317.69707031250005,12023.4611328125,17.58,0.6,0.0,0.0
61,3,train_0125,12216.962890625,10081.125,-315.88750000000005,315.88750000000005,11901.075390625,16.44,0.74,0.0,0.0
62,3,train_0561,12262.9619140625,10735.3076171875,-250.46923828125,250.46923828125,12012.49267578125,17.06,0.6,0.0,0.0
63,3,train_0524,11781.201171875,9863.71484375,-337.62851562500003,337.62851562500003,11443.57265625,16.22,0.64,0.0,0.0
