seed,condition,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,mean_decision_latency_ms,p95_decision_latency_ms,decision_calls
2015,cef_noise_high,11371.624755001556,10975.458964623442,147.5458964623442,0.0,11519.1706514639,12.52,0.64,0.0,0.0,5.0,14.246239990461618,25.16410000389442,5.0
2015,bandwidth_dropout_20pct,11346.296869272473,11103.352775385429,160.33527753854287,0.0,11506.632146811016,11.74,0.62,0.0,0.0,5.0,14.051699999254197,23.840120004024357,5.0
2015,bandwidth_dropout_50pct,11346.296869272473,11103.352775385429,160.33527753854287,0.0,11506.632146811016,11.74,0.62,0.0,0.0,5.0,15.363479999359697,29.228359984699637,5.0
2016,clean,11202.729458189498,10994.659642386105,149.46596423861047,0.0,11352.195422428109,12.16,0.46,0.0,0.0,5.0,13.811199995689094,15.611579967662692,5.0
2016,price_noise_low,11097.187672613345,10936.48107170691,143.64810717069105,0.0,11240.835779784036,12.22,0.48,0.0,0.0,5.0,15.395979990717024,24.65711998520419,5.0
2016,price_noise_high,10857.343626395152,10907.17598063522,140.71759806352202,0.0,10998.061224458674,13.04,0.48,0.0,0.0,5.0,16.28151999320835,26.701180008240044,5.0
2016,cef_noise_high,11272.409434073514,10956.673485916112,145.66734859161116,0.0,11418.076782665124,12.62,0.5,0.0,0.0,5.0,16.104580007959157,25.578760006465018,5.0
2016,bandwidth_dropout_20pct,11202.729458189498,10994.659642386105,149.46596423861047,0.0,11352.195422428109,12.16,0.46,0.0,0.0,5.0,12.543040001764894,21.349620015826076,5.0
2016,bandwidth_dropout_50pct,11202.729458189498,10994.659642386105,149.46596423861047,0.0,11352.195422428109,12.16,0.46,0.0,0.0,5.0,14.276360010262579,26.05444000801071,5.0
2017,clean,11027.940947878866,10801.149965031995,130.11499650319948,0.0,11158.055944382066,11.34,0.64,0.0,0.0,5.0,17.935640003997833,29.647999978624284,5.0
2017,price_noise_low,11134.587053833913,10774.675500937323,127.46755009373229,0.0,11262.054603927645,12.16,0.62,0.0,0.0,5.0,13.571960001718253,22.492920025251806,5.0
2017,price_noise_high,11294.96652789527,10787.68026617051,128.76802661705096,0.0,11423.73455451232,12.88,0.66,0.0,0.0,5.0,17.357099999208003,28.84270001668483,5.0
2017,cef_noise_high,11027.711754836406,10881.222003953797,138.1222003953797,0.0,11165.833955231785,11.8,0.64,0.0,0.0,5.0,13.740320014767349,22.74011999834329,5.0
2017,bandwidth_dropout_20pct,11027.940947878866,10801.149965031995,130.11499650319948,0.0,11158.055944382066,11.34,0.64,0.0,0.0,5.0,20.549499988555908,28.058479994069785,5.0
