seed,n_workloads,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,mean_decision_latency_ms,p95_decision_latency_ms,decision_calls,slack_scale
2005,,11141.326889119453,10753.449253986584,125.34492539865842,0.0,11266.671814518111,6.6,0.54,0.0,0.0,5.0,15.324179991148412,25.82647999515757,5.0,0.5
2006,,11316.225094578982,11105.174119137759,160.51741191377587,0.0,11476.742506492757,8.58,0.74,0.0,0.0,5.0,15.571260021533817,27.404000039678067,5.0,0.5
2007,,11123.528878790214,10616.968485530442,111.69684855304422,0.0,11235.225727343259,8.18,0.7,0.0,0.0,5.0,12.637279997579753,17.6681199693121,5.0,0.5
2008,,11071.663497187423,10820.26750687237,132.02675068723693,0.0,11203.69024787466,6.98,0.72,0.0,0.0,5.0,16.8092800071463,31.15165998460725,5.0,0.5
2009,,11201.38976826589,10673.536589300169,117.3536589300169,0.0,11318.743427195906,6.58,0.38,0.0,0.0,5.0,15.125999972224236,26.379639969673004,5.0,0.5
2010,,11368.203514913417,10954.412086677883,145.44120866778832,0.0,11513.644723581205,7.02,0.78,0.0,0.0,5.0,17.134959995746613,24.83120000688359,5.0,0.5
2011,,11044.488997933193,10641.368008641395,114.13680086413952,0.0,11158.625798797333,8.04,0.52,0.0,0.0,5.0,14.388339989818633,24.150360003113743,5.0,0.5
2012,,11322.57551495856,10982.949518116857,148.29495181168568,0.0,11470.870466770246,7.4,0.72,0.0,0.0,5.0,18.929519993253052,28.789419983513653,5.0,0.5
2013,,11665.466474236568,11190.954142989653,169.09541429896527,0.0,11834.561888535532,8.44,0.74,0.0,0.0,5.0,16.787339991424233,28.13999999780208,5.0,0.5
2014,,11185.587321704856,11220.275547549594,172.02755475495943,0.0,11357.614876459815,9.88,0.72,0.0,0.0,5.0,14.734839997254312,27.025039982981976,5.0,0.5
2015,,11518.916945434532,11146.718562144371,164.67185621443716,0.0,11683.58880164897,7.48,0.6,0.0,0.0,5.0,14.48177999118343,25.47424001386389,5.0,0.5
2016,,11379.330071268283,10905.333134615812,140.5333134615812,0.0,11519.863384729864,7.66,0.5,0.0,0.0,5.0,16.55541998334229,27.18861998291686,5.0,0.5
2017,,11212.531259967325,11029.330866088769,152.9330866088769,0.0,11365.464346576202,7.5,0.64,0.0,0.0,5.0,16.587320005055517,27.992560004349798,5.0,0.5
2018,,11599.739428928347,10408.47158614315,90.84715861431505,0.0,11690.586587542663,6.76,0.72,0.0,0.0,5.0,14.28476000437513,26.497300027403977,5.0,0.5
2019,,11428.484851846857,10875.240977324433,137.52409773244327,0.0,11566.0089495793,7.66,0.8,0.0,0.0,5.0,15.103180008009076,26.3986200094223,5.0,0.5
2000,,11068.425422576081,10661.871871300416,116.18718713004165,0.0,11184.612609706122,9.8,0.74,0.0,0.0,5.0,14.241160033270717,24.404540006071326,5.0,0.75
2001,,11135.673269576175,10991.888581238942,149.18885812389416,0.0,11284.86212770007,11.56,0.54,0.0,0.0,5.0,15.637880004942417,29.7958200215362,5.0,0.75
2002,,11294.463689744714,10879.028365698465,137.90283656984647,0.0,11432.366526314561,6.68,0.62,0.0,0.0,5.0,18.235700007062405,27.530999993905425,5.0,0.75
2003,,11423.538037665021,11145.786266620013,164.57862666200128,0.0,11588.116664327023,9.74,0.5,0.0,0.0,5.0,13.76449998933822,21.604659990407526,5.0,0.75
2004,,11008.824073141586,10839.945780024995,133.99457800249948,0.0,11142.818651144085,9.52,0.72,0.0,0.0,5.0,15.846840012818575,29.141320008784533,5.0,0.75
2005,,11128.427116180832,10702.565768773595,120.25657687735948,0.0,11248.683693058192,8.2,0.56,0.0,0.0,5.0,17.34755999641493,26.793059974443167,5.0,0.75
2006,,11221.024119948164,10934.829325749686,143.48293257496863,0.0,11364.507052523133,11.16,0.74,0.0,0.0,5.0,14.706340001430362,26.350319990888234,5.0,0.75
2007,,11035.354522990308,10641.80025773366,114.18002577336593,0.0,11149.534548763675,10.24,0.66,0.0,0.0,5.0,16.902699996717274,28.05279999738559,5.0,0.75
2008,,11049.634706339431,10782.578727251823,128.2578727251823,0.0,11177.892579064614,7.66,0.72,0.0,0.0,5.0,15.471499995328486,28.068460011854768,5.0,0.75
2009,,11121.279774541063,10754.833655694749,125.48336556947488,0.0,11246.763140110537,8.64,0.34,0.0,0.0,5.0,16.07277999864891,27.48987997183576,5.0,0.75
2010,,11319.108456870264,10962.565631368187,146.25656313681867,0.0,11465.365020007082,8.04,0.78,0.0,0.0,5.0,15.91190000763163,27.387519995681938,5.0,0.75
2011,,10986.833362651962,10590.000362374141,109.00003623741414,0.0,11095.833398889376,10.68,0.56,0.0,0.0,5.0,15.4724600026384,26.551240007393062,5.0,0.75
2012,,11231.79189653584,10945.931990003755,144.59319900037553,0.0,11376.385095536216,9.24,0.7,0.0,0.0,5.0,18.64230000646785,28.81939996732399,5.0,0.75
2013,,11543.615784779206,11059.088284448739,155.90882844487388,0.0,11699.524613224079,10.04,0.74,0.0,0.0,5.0,16.327839985024184,20.805299968924373,5.0,0.75
2014,,11089.984369142996,11182.60655338406,168.26065533840594,0.0,11258.245024481403,12.5,0.74,0.0,0.0,5.0,15.050399990286678,27.986019966192544,5.0,0.75
2015,,11432.251396717704,11090.766291399841,159.0766291399841,0.0,11591.328025857689,9.04,0.58,0.0,0.0,5.0,14.972059999126941,26.240819995291528,5.0,0.75
2016,,11274.903266193822,11058.840970190085,155.88409701900855,0.0,11430.78736321283,10.1,0.48,0.0,0.0,5.0,14.00564000941813,28.142899973317977,5.0,0.75
2017,,11094.736756729631,10908.206852113122,140.82068521131222,0.0,11235.557441940944,9.26,0.64,0.0,0.0,5.0,15.650180005468428,25.486779992934316,5.0,0.75
2018,,11505.534437852984,10539.347620767512,103.93476207675121,0.0,11609.469199929736,8.04,0.66,0.0,0.0,5.0,14.550879993475974,21.87333998735994,5.0,0.75
2019,,11338.717672349832,10878.443009285093,137.84430092850926,0.0,11476.561973278342,9.94,0.84,0.0,0.0,5.0,15.785079984925687,27.508579986169934,5.0,0.75
2000,,11046.51135839281,10651.30454594845,115.13045459484493,0.0,11161.641812987655,10.6,0.72,0.0,0.0,5.0,16.82597998296842,28.90455997548997,5.0,1.0
2001,,11052.842520247263,10898.57868216263,139.85786821626297,0.0,11192.700388463525,15.1,0.58,0.0,0.0,5.0,16.729319980368018,26.497060002293438,5.0,1.0
2002,,11240.004882149344,10798.923677318307,129.89236773183075,0.0,11369.897249881175,8.1,0.64,0.0,0.0,5.0,14.038999995682389,20.073700009379536,5.0,1.0
2003,,11364.574773062828,11074.00089265328,157.40008926532792,0.0,11521.974862328156,11.54,0.46,0.0,0.0,5.0,16.808840003795922,24.813780013937503,5.0,1.0
2004,,11007.495249142754,10726.946354918458,122.69463549184584,0.0,11130.1898846346,12.38,0.74,0.0,0.0,7.0,17.919071434464836,29.885960003593937,7.0,1.0
2005,,11074.745257830653,10644.178830841294,114.41788308412943,0.0,11189.163140914783,10.04,0.54,0.0,0.0,5.0,14.772960008122027,22.100780019536614,5.0,1.0
2006,,11112.86886993053,11060.651466454754,156.0651466454754,0.0,11268.934016576004,14.88,0.82,0.0,0.0,5.0,15.22995998384431,23.417379974853247,5.0,1.0
2007,,10957.445535723044,10642.886748369001,114.2886748369001,0.0,11071.734210559944,12.44,0.66,0.0,0.0,5.0,18.115239997860044,28.309180005453527,5.0,1.0
2008,,11018.281489851803,10798.224335957004,129.8224335957004,0.0,11148.103923447503,9.84,0.78,0.0,0.0,5.0,18.623440014198422,29.239140020217746,5.0,1.0
2009,,11032.82050598309,10759.398006083007,125.93980060830073,0.0,11158.760306591392,10.28,0.36,0.0,0.0,5.0,13.750940002501011,25.239799998234954,5.0,1.0
2010,,11257.372243448397,10966.631449877608,146.66314498776083,0.0,11404.035388436158,9.68,0.74,0.0,0.0,5.0,14.529660006519407,21.551880007609725,5.0,1.0
2011,,10965.988154046101,10641.758869214718,114.17588692147183,0.0,11080.164040967573,12.48,0.6,0.0,0.0,5.0,18.163700005970895,27.48445998877287,5.0,1.0
2012,,11150.576137033453,10988.981137597973,148.89811375979735,0.0,11299.47425079325,10.88,0.72,0.0,0.0,5.0,14.813240012153983,23.11226000310853,5.0,1.0
2013,,11433.932243004798,11084.237662824878,158.42376628248786,0.0,11592.356009287285,12.34,0.7,0.0,0.0,5.0,14.512000000104308,23.57821996556595,5.0,1.0
2014,,11178.684922278338,11050.624153714347,155.0624153714347,0.0,11333.747337649773,15.28,0.74,0.0,0.0,7.0,17.578728571866773,29.422629991313443,7.0,1.0
